epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.82,0.96836,3.53397,1.17441,0.55312,0.32683,0.31663,0.25232,0.76078,1.61736,1.04418,0.00332949,0.00332949,0.00332949
2,424.768,0.94238,2.14139,1.14859,0.60258,0.43038,0.43714,0.35162,0.78681,1.33299,1.04434,0.00659686,0.00659686,0.00659686
3,627.711,0.97471,1.96046,1.14649,0.61122,0.42523,0.42757,0.32554,0.84543,1.40691,1.0646,0.00979823,0.00979823,0.00979823
4,827.772,0.99201,1.81822,1.15507,0.56841,0.47091,0.46086,0.36574,0.76947,1.24107,1.02452,0.009703,0.009703,0.009703
5,1027.96,0.94261,1.56284,1.12426,0.72577,0.4757,0.50913,0.41381,0.75098,1.08756,1.00283,0.009604,0.009604,0.009604
6,1228.06,0.91396,1.39509,1.10896,0.64004,0.57295,0.55402,0.4499,0.71123,0.93902,0.98728,0.009505,0.009505,0.009505
7,1426.95,0.88345,1.30327,1.09398,0.74551,0.52546,0.58813,0.47654,0.69429,0.88591,0.97576,0.009406,0.009406,0.009406
8,1626.47,0.86319,1.22348,1.07955,0.84904,0.47789,0.58303,0.47849,0.68548,0.86029,0.96532,0.009307,0.009307,0.009307
9,1825.54,0.84986,1.1722,1.07244,0.81415,0.55309,0.61733,0.5123,0.66665,0.82216,0.95787,0.009208,0.009208,0.009208
10,2024.29,0.83717,1.12854,1.06274,0.83276,0.51487,0.60432,0.50784,0.65908,0.78395,0.95195,0.009109,0.009109,0.009109
11,2225.08,0.82904,1.09258,1.05738,0.77113,0.58273,0.61229,0.50994,0.65755,0.80271,0.95091,0.00901,0.00901,0.00901
12,2425.26,0.81803,1.06452,1.05275,0.8494,0.54815,0.62947,0.53213,0.6376,0.74766,0.94283,0.008911,0.008911,0.008911
13,2624.48,0.80481,1.03147,1.04504,0.79095,0.61914,0.68104,0.57178,0.63301,0.72447,0.93547,0.008812,0.008812,0.008812
14,2825.66,0.79632,1.01983,1.04224,0.78605,0.57137,0.67703,0.57863,0.62551,0.70474,0.94101,0.008713,0.008713,0.008713
15,3026.77,0.78989,0.9946,1.03901,0.70797,0.6492,0.67811,0.5661,0.63129,0.67581,0.93562,0.008614,0.008614,0.008614
16,3227.03,0.78531,0.98392,1.03497,0.75276,0.6187,0.65538,0.55175,0.61593,0.67578,0.93172,0.008515,0.008515,0.008515
17,3426.73,0.78182,0.96077,1.03726,0.6839,0.66938,0.6625,0.55759,0.61086,0.66373,0.93225,0.008416,0.008416,0.008416
18,3626.92,0.76723,0.94029,1.02659,0.76929,0.63033,0.70518,0.60867,0.59907,0.65447,0.91517,0.008317,0.008317,0.008317
19,3826.47,0.76579,0.92204,1.02461,0.85655,0.62786,0.70996,0.59503,0.59954,0.62335,0.92315,0.008218,0.008218,0.008218
20,4026.89,0.76143,0.91771,1.02355,0.77443,0.65347,0.72313,0.62037,0.59178,0.61642,0.91919,0.008119,0.008119,0.008119
21,4227.74,0.76021,0.90508,1.02446,0.86981,0.61111,0.73579,0.63274,0.5844,0.61618,0.91152,0.00802,0.00802,0.00802
22,4427.97,0.74499,0.88727,1.0156,0.86838,0.64399,0.7198,0.61662,0.57835,0.60292,0.91047,0.007921,0.007921,0.007921
23,4627.51,0.75164,0.88817,1.01816,0.8085,0.69969,0.74327,0.63722,0.57615,0.5827,0.90964,0.007822,0.007822,0.007822
24,4827.4,0.74626,0.87038,1.01448,0.85605,0.64515,0.74124,0.64527,0.57202,0.58026,0.90448,0.007723,0.007723,0.007723
25,5026.85,0.74472,0.8637,1.00971,0.8455,0.61661,0.74486,0.64072,0.56669,0.56626,0.90201,0.007624,0.007624,0.007624
26,5226.2,0.73644,0.84706,1.00774,0.75033,0.72589,0.75362,0.65211,0.56312,0.56182,0.9047,0.007525,0.007525,0.007525
27,5425.62,0.73413,0.8447,1.00633,0.82977,0.68031,0.75688,0.65695,0.55749,0.55497,0.89779,0.007426,0.007426,0.007426
28,5625.3,0.73079,0.84143,1.0039,0.81743,0.70738,0.75932,0.6591,0.55996,0.55062,0.90008,0.007327,0.007327,0.007327
29,5826.3,0.72674,0.82762,0.99977,0.72962,0.76374,0.75763,0.66062,0.54836,0.54987,0.89246,0.007228,0.007228,0.007228
30,6028.41,0.72338,0.82723,1.00252,0.85458,0.68765,0.76093,0.66513,0.55514,0.53279,0.89624,0.007129,0.007129,0.007129
