epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3637.05,0.81574,0.81931,1.05995,0.76317,0.72447,0.75487,0.60889,0.75467,0.84287,1.00855,0.00016516,0.00016516,0.00016516
43,3721.5,0.81344,0.81792,1.06011,0.75941,0.72793,0.74566,0.61386,0.7286,0.84587,0.99355,0.000162408,0.000162408,0.000162408
44,3806.19,0.80977,0.80641,1.05408,0.72971,0.74235,0.75011,0.62143,0.72656,0.86153,0.99335,0.000159655,0.000159655,0.000159655
45,3892.47,0.81019,0.80758,1.0581,0.72726,0.74092,0.74347,0.60935,0.74085,0.89023,1.01019,0.000156903,0.000156903,0.000156903
46,3977.34,0.80887,0.79794,1.05663,0.77597,0.70464,0.75236,0.61848,0.72094,0.86536,1.00083,0.000154151,0.000154151,0.000154151
47,4062.77,0.79955,0.78585,1.0468,0.77127,0.71824,0.75407,0.62798,0.72223,0.83286,0.99308,0.000151399,0.000151399,0.000151399
48,4149.98,0.79486,0.78258,1.04616,0.7803,0.72283,0.75581,0.61552,0.73394,0.83963,0.99823,0.000148647,0.000148647,0.000148647
49,4233.65,0.79336,0.75629,1.03709,0.744,0.74044,0.76122,0.6201,0.72431,0.85182,0.99287,0.000145894,0.000145894,0.000145894
50,4317.22,0.80039,0.76001,1.04213,0.75138,0.73635,0.75695,0.61548,0.72495,0.83713,0.99143,0.000143142,0.000143142,0.000143142
51,4404.25,0.77964,0.75378,1.03696,0.82462,0.70317,0.76123,0.61607,0.75018,0.83029,1.01016,0.00014039,0.00014039,0.00014039
52,4490.14,0.7865,0.76053,1.04128,0.77803,0.73124,0.75946,0.6194,0.73731,0.80998,1.0074,0.000137638,0.000137638,0.000137638
53,4574.3,0.77656,0.73481,1.03619,0.77336,0.73774,0.75863,0.63113,0.72309,0.82846,0.99262,0.000134886,0.000134886,0.000134886
54,4661.63,0.774,0.72525,1.03291,0.76465,0.72946,0.74652,0.61156,0.72318,0.85402,0.99747,0.000132133,0.000132133,0.000132133
55,4748.53,0.77652,0.73452,1.03416,0.79641,0.70934,0.75068,0.62259,0.7337,0.8589,0.99829,0.000129381,0.000129381,0.000129381
56,4833.56,0.76053,0.71277,1.02012,0.75782,0.68665,0.73688,0.60414,0.72217,0.85643,0.99516,0.000126629,0.000126629,0.000126629
57,4920.18,0.76024,0.70542,1.02691,0.7518,0.70978,0.73631,0.60621,0.73253,0.84079,1.00822,0.000123877,0.000123877,0.000123877
58,5007.19,0.7588,0.69833,1.02801,0.78751,0.72127,0.74507,0.61393,0.70701,0.83286,0.98721,0.000121125,0.000121125,0.000121125
59,5092.86,0.76019,0.68124,1.02112,0.80345,0.70107,0.75467,0.62048,0.72801,0.83582,0.99568,0.000118372,0.000118372,0.000118372
60,5178.54,0.75538,0.67724,1.0193,0.7853,0.73006,0.76121,0.63099,0.71638,0.81731,0.99719,0.00011562,0.00011562,0.00011562
61,5265.88,0.74268,0.66592,1.01432,0.82365,0.69254,0.76633,0.63805,0.70164,0.79869,0.97563,0.000112868,0.000112868,0.000112868
62,5352.65,0.74963,0.67189,1.0147,0.77827,0.72954,0.76107,0.62686,0.72279,0.81375,0.9931,0.000110116,0.000110116,0.000110116
63,5436.55,0.74556,0.66968,1.02668,0.80906,0.70642,0.7631,0.62952,0.71546,0.82813,0.9907,0.000107364,0.000107364,0.000107364
64,5521.25,0.73089,0.65581,1.01072,0.80085,0.67629,0.75905,0.62094,0.71531,0.82527,0.98865,0.000104611,0.000104611,0.000104611
65,5609.75,0.74022,0.65025,1.01259,0.7506,0.74897,0.76661,0.62882,0.72011,0.79453,0.98875,0.000101859,0.000101859,0.000101859
66,5696.81,0.73196,0.63773,1.00647,0.82502,0.70129,0.76268,0.62156,0.73329,0.81951,1.00202,9.9107e-05,9.9107e-05,9.9107e-05
67,5781.24,0.72109,0.63857,1.00433,0.78243,0.72637,0.76296,0.62492,0.71795,0.83077,0.98814,9.63548e-05,9.63548e-05,9.63548e-05
68,5868.66,0.72349,0.64,1.00846,0.77032,0.72368,0.75571,0.62509,0.70206,0.8172,0.98266,9.36026e-05,9.36026e-05,9.36026e-05
69,5956.19,0.71696,0.63339,1.00384,0.79838,0.6943,0.75818,0.62459,0.70328,0.82654,0.98873,9.08504e-05,9.08504e-05,9.08504e-05
70,6041.01,0.70705,0.61746,0.9982,0.81267,0.69941,0.76166,0.62569,0.70088,0.79739,0.98324,8.80982e-05,8.80982e-05,8.80982e-05
71,6126.85,0.71582,0.6296,0.99987,0.79811,0.69609,0.76094,0.62225,0.71493,0.80946,0.98555,8.5346e-05,8.5346e-05,8.5346e-05
72,6213.39,0.7133,0.62334,1.00385,0.77886,0.72269,0.75919,0.6264,0.70196,0.79981,0.98078,8.25938e-05,8.25938e-05,8.25938e-05
73,6298.88,0.69512,0.60722,0.99242,0.79391,0.72658,0.76034,0.62871,0.70739,0.81431,0.98536,7.98416e-05,7.98416e-05,7.98416e-05
74,6383.1,0.6984,0.61028,0.99911,0.77208,0.72904,0.75981,0.62959,0.70776,0.79853,0.98541,7.70894e-05,7.70894e-05,7.70894e-05
75,6470.38,0.69902,0.59847,0.99412,0.78467,0.73894,0.75757,0.62556,0.70576,0.81672,0.98435,7.43372e-05,7.43372e-05,7.43372e-05
76,6557.11,0.69267,0.59275,0.98878,0.771,0.72259,0.75955,0.62848,0.69963,0.82793,0.97842,7.1585e-05,7.1585e-05,7.1585e-05
77,6641.02,0.69319,0.58816,0.99188,0.76857,0.72646,0.75696,0.62543,0.70254,0.82642,0.98276,6.88328e-05,6.88328e-05,6.88328e-05
78,6727.46,0.68726,0.59029,0.98895,0.81966,0.69664,0.76374,0.63186,0.70935,0.83046,0.98396,6.60806e-05,6.60806e-05,6.60806e-05
79,6814.03,0.68194,0.58526,0.9894,0.81741,0.70169,0.76154,0.63661,0.69727,0.81599,0.97449,6.33284e-05,6.33284e-05,6.33284e-05
80,6900.48,0.6963,0.60417,0.99479,0.79008,0.72414,0.75937,0.63721,0.69207,0.80851,0.97317,6.05762e-05,6.05762e-05,6.05762e-05
81,6985.41,0.68201,0.57492,0.98706,0.78606,0.72127,0.76163,0.63355,0.69476,0.80362,0.97693,5.7824e-05,5.7824e-05,5.7824e-05
82,7072.33,0.67106,0.57617,0.98125,0.76282,0.75078,0.76481,0.63336,0.6983,0.79234,0.97973,5.50718e-05,5.50718e-05,5.50718e-05
83,7159.08,0.67703,0.56513,0.98181,0.80898,0.71328,0.76868,0.64099,0.7003,0.77915,0.97884,5.23196e-05,5.23196e-05,5.23196e-05
84,7244.83,0.66322,0.55909,0.97881,0.76763,0.72606,0.76115,0.63024,0.68886,0.79913,0.9782,4.95674e-05,4.95674e-05,4.95674e-05
85,7329.35,0.66189,0.56011,0.97558,0.77361,0.73628,0.76617,0.63865,0.68793,0.77523,0.97367,4.68152e-05,4.68152e-05,4.68152e-05
86,7414.95,0.66619,0.54836,0.97739,0.80105,0.70701,0.76177,0.63543,0.68715,0.80262,0.97921,4.4063e-05,4.4063e-05,4.4063e-05
87,7498.37,0.66552,0.55951,0.97592,0.80802,0.70446,0.7672,0.6378,0.69398,0.80364,0.98129,4.13108e-05,4.13108e-05,4.13108e-05
88,7584.48,0.6506,0.54777,0.97006,0.78695,0.73346,0.76609,0.6367,0.69402,0.79654,0.98077,3.85586e-05,3.85586e-05,3.85586e-05
89,7671.02,0.65496,0.54776,0.97299,0.83811,0.69423,0.76839,0.64202,0.6926,0.78672,0.97731,3.58064e-05,3.58064e-05,3.58064e-05
90,7754.06,0.65025,0.53954,0.97131,0.803,0.72141,0.76476,0.63534,0.69361,0.79914,0.98375,3.30542e-05,3.30542e-05,3.30542e-05
91,7842.89,0.62651,0.44922,0.94312,0.79124,0.71665,0.75394,0.62146,0.70534,0.81211,0.98948,3.0302e-05,3.0302e-05,3.0302e-05
92,7927.08,0.60464,0.4321,0.92884,0.78009,0.71725,0.76089,0.62894,0.70493,0.78449,0.98264,2.75498e-05,2.75498e-05,2.75498e-05
93,8007.97,0.59424,0.41796,0.93036,0.81292,0.69034,0.76505,0.63315,0.69593,0.78437,0.97881,2.47976e-05,2.47976e-05,2.47976e-05
94,8095.16,0.59401,0.4104,0.91881,0.76171,0.73418,0.76272,0.63331,0.69707,0.78983,0.98146,2.20454e-05,2.20454e-05,2.20454e-05
95,8176.98,0.58351,0.41146,0.92379,0.77733,0.72755,0.76506,0.63353,0.69587,0.77461,0.97954,1.92932e-05,1.92932e-05,1.92932e-05
96,8261.3,0.58269,0.40538,0.91999,0.75399,0.75152,0.76474,0.63455,0.69298,0.78367,0.97637,1.6541e-05,1.6541e-05,1.6541e-05
97,8343.57,0.58179,0.40433,0.91623,0.81195,0.70083,0.76181,0.63508,0.69397,0.7871,0.98074,1.37888e-05,1.37888e-05,1.37888e-05
98,8426.52,0.56893,0.39625,0.91393,0.82748,0.69384,0.76241,0.63695,0.69225,0.78874,0.97978,1.10366e-05,1.10366e-05,1.10366e-05
99,8507.62,0.56738,0.39596,0.91491,0.78712,0.71771,0.76099,0.63551,0.69398,0.7967,0.9813,8.2844e-06,8.2844e-06,8.2844e-06
100,8592.45,0.56652,0.39615,0.91316,0.76912,0.74478,0.763,0.63614,0.69351,0.78577,0.9789,5.5322e-06,5.5322e-06,5.5322e-06
